id,Tweet,Subjectivity,Polarity,Target
0,"Respiratory syncytial virus, or RSV, is a common respiratory virus that is the leading cause of bronchiolitis and… ",0.5,-0.3,Negative
1,"As pioneers in asthma, we continue to push the boundaries of science. We’re joining leading experts at ATS2021 to… ",0,0,Neutral
2,"It takes innovation to transform healthcare experiences for patients, but innovation doesn’t happen in isolation. L… ",0,0,Neutral
3,Every day billions of people are trying to balance living their lives with the limitations posed by chronic disease… ,0,0,Neutral
4,An estimated 37 million people live with chronic kidneydisease in the US and up to 90% are undiagnosed. Routine te… ,0.5,0.136363636,Positive
5,RSV is the leading cause of bronchiolitis and pneumonia cases in infants under one year of age and remains a leadi… ,0,0,Neutral
6,Severe asthma is a complex disease that can significantly impact patient health and present unique challenges to he… ,0.56875,0.1125,Positive
7,"To address the urgent crisis in India, we are pledging humanitarian aid that will provide oxygen concentrators, med… ",0,0,Neutral
8,Today on WorldLupusDay we’re recognising  and  who are working to MakeLupusVisible through g… ,0,0,Neutral
9,"The 5-year survival for stage 4, advanced metastatic ovarian cancer, is ~17%, a number that we’re committed to impr… ",0.6,0.4,Positive
10,"Despite advances in severeasthma care and what we know about their harmful side effects, oral corticosteroids (OCS… ",0,0,Neutral
11,"Targeted medicines that deliver chemotherapy agents to cancer cells, called antibody drug conjugates, are changing… ",0,0,Neutral
12,"With 5+ million people affected by lupus globally, there is an urgent need to continue advancing lupus science. We… ",0,0,Neutral
13,Over 1.5 billion people are living with chronic diseases worldwide. Our ambition in BioPharmaceuticals is to stop t… ,0,0,Neutral
14,"Our partnership with the  community will continue into 2021, supporting next-generation entrepreneurs to en… ",0.25,0.25,Positive
15,"It’s a common disease, but misconceptions about asthma persist. One is that patients prescribed blue reliever (SAB… ",0.3,-0.15,Negative
16,"RSV will affect approximately 90% of infants before their second birthday, and while symptoms will be mild for mos… ",0.366666667,-0.022222222,Negative
17,We’re advancing our knowledge to uncover eosinophilic immune dysfunction and its role in a wide range of inflammato… ,0.4,-0.1,Negative
18,"Managing hearfailure can feel daunting, but you don’t have to face it alone. Together with , we’ve c… ",0,0,Neutral
